gauge,drought,record_length,station_name,state,lat,lon,catchment_area_sq_km,prop_forested,climate_type,major_climate_type
218007,TRUE,47,Wadbilliga River at Wadbilliga (218007),NSW,-36.2586,149.6914,123.5,0.98901,Cfb,Temperate (C)
218008,TRUE,43,Tuross River at Eurobodalla (218008),NSW,-36.13,150,1607.2,0.94526,Cfb,Temperate (C)
219001,TRUE,60,Rutherford Creek at Brown Mountain (219001),NSW,-36.593889,149.4425,15.3,0.99999,Cfb,Temperate (C)
219003,TRUE,63,Bemboka River at Morans Crossing (219003),NSW,-36.6674,149.6469,314.5,0.70434,Cfb,Temperate (C)
219006,TRUE,63,Tantawangalo Creek at Tantawangalo Mountain Dam (219006),NSW,-36.78,149.54,80.7,0.99832,Cfb,Temperate (C)
219017,TRUE,55,Double Creek at near Brogo (219017),NSW,-36.6,149.8094,152.9,0.75536,Cfb,Temperate (C)
219022,TRUE,49,Tantawangalo Creek at Candelo Dam Site (219022),NSW,-36.7319,149.6842,198.9,0.79419,Cfb,Temperate (C)
220003,TRUE,55,Pambula River at Lochiel (220003),NSW,-36.9414,149.8194,106.4,0.98551,Cfb,Temperate (C)
221002,TRUE,47,Wallagaraugh River at Princes HWY (221002),NSW,-37.3719,149.7125,480.1,0.9996,Cfb,Temperate (C)
221201,FALSE,63,Cann(West Branch River at Weeragua (221201),VIC,-37.373,149.2,323.3,0.99535,Cfb,Temperate (C)
221207,TRUE,52,Errinundra River at Errinundra (221207),VIC,-37.447222,148.914167,158.1,0.98943,Cfb,Temperate (C)
221208,TRUE,42,Wingan River at Wingan Inlet National Park (221208),VIC,-37.689,149.49,421,0.99913,Cfb,Temperate (C)
221209,TRUE,49,Cann(East Branch River at Weeragua (221209),VIC,-37.356,149.21,148.9,0.99571,Cfb,Temperate (C)
221210,FALSE,49,Genoa River at The Gorge (221210),VIC,-37.416389,149.518611,838.8,0.99643,Cfb,Temperate (C)
221211,FALSE,47,Combienbar River at Combienbar (221211),VIC,-37.44,148.98,179.3,0.98454,Cfb,Temperate (C)
221212,TRUE,46,Bemm River at Princes HWY (221212),VIC,-37.606,148.9,727.2,0.99179,Cfb,Temperate (C)
222004,FALSE,63,Little Plains River at Wellesley (Rowes) (222004),NSW,-36.9969,149.0925,614.3,0.72509,Cfb,Temperate (C)
222016,TRUE,39,Pinch River at The Barry Way (222016),NSW,-36.7936,148.4033,157.9,0.93221,Cfb,Temperate (C)
222202,TRUE,61,Brodribb Riber River at Sardine Creek (222202),VIC,-37.512,148.55,652.1,0.99018,Cfb,Temperate (C)
222206,TRUE,63,Buchan River at Buchan (222206),VIC,-37.494722,148.174722,847.5,0.9425,Cfb,Temperate (C)
222210,TRUE,50,Deddick River at Deddick (Caseys) (222210),VIC,-37.0853747,148.4241522,846.1,0.95102,Cfb,Temperate (C)
222213,TRUE,55,Suggan Buggan River at Suggan Buggan (222213),VIC,-36.954722,148.326667,363.7,0.95335,Cfb,Temperate (C)
222217,TRUE,45,Rodger River at Jacksons Crossing (222217),VIC,-37.41,148.36,432.1,0.97275,Cfb,Temperate (C)
223202,TRUE,63,Tambo River at Swifts Creek (223202),VIC,-37.268056,147.728056,894.3,0.83945,Cfb,Temperate (C)
223204,TRUE,57,Nicholson River at Deptford (223204),VIC,-37.59294631,147.697124,289.1,0.96378,Cfb,Temperate (C)
223205,TRUE,54,Tambo River at D/S Of Ramrod Creek (223205),VIC,-37.67253062,147.8698513,2673.2,0.84863,Cfb,Temperate (C)
224201,TRUE,55,Wonnangatta R River at Waterford (224201),VIC,-37.49,147.17,1974.8,0.93571,Cfb,Temperate (C)
224203,TRUE,61,Mitchell River at Glenaladale (224203),VIC,-37.76358991,147.3747776,3917.6,0.93456,Cfb,Temperate (C)
224206,TRUE,60,Wonnangatta River at Crooked River (224206),VIC,-37.406389,147.088056,1102.3,0.95782,Cfb,Temperate (C)
224213,TRUE,46,Dargo River at Lower Dargo Rd (224213),VIC,-37.493889,147.271389,666.3,0.8799,Cfb,Temperate (C)
224214,TRUE,45,Wentworth River at Tabberabbera (224214),VIC,-37.494444,147.393333,440.6,0.96223,Cfb,Temperate (C)
225020A,TRUE,33,South Cascade Creek at Thomson Valley Road (225020A),VIC,-37.833333,146.354167,11.5,1,Cfb,Temperate (C)
225201,TRUE,43,Avon River at Stratford (225201),VIC,-37.9685868,147.0760061,1460.2,0.84528,Cfb,Temperate (C)
225209,TRUE,55,Macalister River at Licola (225209),VIC,-37.62961037,146.6233123,1237.3,0.93071,Cfb,Temperate (C)
225213,TRUE,57,Aberfeldy River at Beardmore (225213),VIC,-37.854,146.43,311,0.96089,Cfb,Temperate (C)
225218,FALSE,54,Freestone Creek at Briagolong (225218),VIC,-37.812,147.09,305.2,0.96765,Cfb,Temperate (C)
225219,TRUE,52,Macalister River at Glencairn (225219),VIC,-37.516111,146.566111,572,0.92557,Cfb,Temperate (C)
225221,TRUE,41,Macalister River at Stringybark Creek (225221),VIC,-37.76935073,146.6677493,1541.3,0.9285,Cfb,Temperate (C)
225223,TRUE,44,Valencia Creek at Gillio Road (225223),VIC,-37.74346413,146.9922931,202.2,0.98247,Cfb,Temperate (C)
225224,TRUE,46,Avon River at The Channel (225224),VIC,-37.80184085,146.8849073,557,0.96686,Cfb,Temperate (C)
226023,TRUE,49,Traralgon Creek at Traralgon (226023),VIC,-38.19405359,146.5439326,168.4,0.76853,Cfb,Temperate (C)
226204,TRUE,63,Latrobe River at Willow Grove (226204),VIC,-38.089,146.16,562.9,0.92791,Cfb,Temperate (C)
226205,FALSE,60,Latrobe River at Noojee (226205),VIC,-37.90701017,146.0221188,296.1,0.98241,Cfb,Temperate (C)
226209,TRUE,61,Moe R River at Darnum (226209),VIC,-38.206,146,215.7,0.04204,Cfb,Temperate (C)
226218,TRUE,61,Narracan Creek at Thorpdale (226218),VIC,-38.27191618,146.1865277,65.7,0.27455,Cfb,Temperate (C)
226220,TRUE,54,Loch River at Noojee (226220),VIC,-37.866667,146.006111,104.2,0.9995,Cfb,Temperate (C)
226222,FALSE,33,Latrobe River at Near Noojee (226222),VIC,-37.881944,145.8925,64.7,0.99895,Cfb,Temperate (C)
226226,TRUE,61,Tanjil River at Tanjil Junction (226226),VIC,-37.98,146.19,299.2,0.99719,Cfb,Temperate (C)
226402,TRUE,63,Moe Drain River at Trafalgar East (226402),VIC,-38.176,146.21,609.4,0.17959,Cfb,Temperate (C)
226407,TRUE,47,Morwell River at Boolarra (226407),VIC,-38.4075,146.304722,115,0.90456,Cfb,Temperate (C)
226410,TRUE,57,Traralgon Creek at Koornalla (226410),VIC,-38.323,146.53,83.9,0.95118,Cfb,Temperate (C)
227200,TRUE,52,Tarra River at Yarram (227200),VIC,-38.538,146.68,222.1,0.79018,Cfb,Temperate (C)
227202,TRUE,62,Tarwin River at Meeniyan (227202),VIC,-38.582,145.99,1069.5,0.17936,Cfb,Temperate (C)
227205,TRUE,54,Merriman Creek at Calignee South (227205),VIC,-38.35208581,146.6547464,39.2,0.97901,Cfb,Temperate (C)
227210,TRUE,61,Bruthen Creek at Carrajung Lower (227210),VIC,-38.39502395,146.74407,17.8,0.98507,Cfb,Temperate (C)
227211,TRUE,61,Agnes River at Toora (227211),VIC,-38.64,146.37,66.2,0.7321,Cfb,Temperate (C)
227213,TRUE,58,Jack River at Jack River (227213),VIC,-38.52579869,146.538118,35,0.99976,Cfb,Temperate (C)
227219,TRUE,54,Bass River at Loch (227219),VIC,-38.358,145.72,53.9,0.00108,Cfb,Temperate (C)
227225,TRUE,52,Tarra River at Fischers (227225A),VIC,-38.469722,146.555278,20.3,0.9998,Cfb,Temperate (C)
227226,TRUE,51,Tarwin River East Branch  at Dumbalk North (227226),VIC,-38.499722,146.160833,127.1,0.34155,Cfb,Temperate (C)
227227,TRUE,44,Wilkur Creek at Leongatha (227227),VIC,-38.393333,145.957222,105.1,0.16987,Cfb,Temperate (C)
227231,TRUE,48,Bass River at Glen Forbes South (227231),VIC,-38.467,145.51,233.7,0.03428,Cfb,Temperate (C)
227236,FALSE,41,Powlett River at D/S Foster Ck Junction (227236),VIC,-38.559,145.71,233.8,4.2e-4,Cfb,Temperate (C)
227237,TRUE,42,Franklin River at Toora (227237),VIC,-38.63,146.31,73.6,0.876,Cfb,Temperate (C)
230205,TRUE,60,Deep Creek at Bulla (D/S of Emu Ck Ju (230205),VIC,-37.632,144.8,861.2,0.19453,Cfb,Temperate (C)
230209,TRUE,52,Barringo Creek at Barringo (U/S Of Diversion) (230209),VIC,-37.41050387,144.6260551,5.5,1,Cfb,Temperate (C)
230210,TRUE,52,Saltwater Creek at Bullengarook (230210),VIC,-37.471944,144.524167,39,0.99562,Cfb,Temperate (C)
231211,TRUE,43,Lerderderg River at U/S Goodman Ck Junction (231211),VIC,-37.63,144.43,234.5,0.98488,Cfb,Temperate (C)
231213,TRUE,59,Lerderderg River at Sardine Creek O'brien Crossing (231213),VIC,-37.496111,144.359722,153.4,0.97845,Cfb,Temperate (C)
231225,TRUE,44,Werribee River at Ballan (U/S Old Western H- (231225),VIC,-37.598,144.25,108.2,0.66524,Cfb,Temperate (C)
231231,TRUE,36,Toolern Creek at Melton South (231231),VIC,-37.72796,144.57898,85.8,0.43508,Cfb,Temperate (C)
232214,TRUE,42,Black Creek at U/S Of Bungal Dam (232214),VIC,-37.62982,144.06236,11.7,0.00424,Cfb,Temperate (C)
232215,TRUE,42,Woollen Creek at U/S Of Bungal Dam (232215),VIC,-37.6337175,144.0807662,8.8,0.07321,Cfb,Temperate (C)
233214,TRUE,61,Barwon River East Branch at Forrest (233214),VIC,-38.52871645,143.730405,16.6,1,Cfb,Temperate (C)
233223,FALSE,45,Warrambine Creek at Warrambine (233223),VIC,-37.928637,143.8663116,53.5,0.02093,Cfb,Temperate (C)
234200,TRUE,57,Woady Yaloak River River at Pitfield (234200),VIC,-37.809,143.59,309.5,0.5259,Cfb,Temperate (C)
234201,TRUE,58,Woady Yaloak River at Cressy (Yarima) (234201),VIC,-38.012,143.64,1149.2,0.26132,Cfb,Temperate (C)
