gauge,year,realspace_a3_off_streamflow,realspace_a3_on_streamflow
117003A,2020,506.4010822762122,295.10583284168985
117003A,2021,760.7805178664806,519.3002327237945
118106A,1975,784.1387775287862,784.1387775287862
118106A,1976,917.3488164360099,917.34881643601
118106A,1977,679.0844463636375,679.0844463636375
118106A,1978,500.49072235923296,500.49072235923296
118106A,1979,575.4711798672967,575.4711798672967
118106A,1980,322.6209713793074,322.6209713793074
118106A,1981,908.012950028654,908.012950028654
118106A,1982,91.81168009753397,91.81168009753397
118106A,1983,92.46647456491417,92.46647456491417
118106A,1984,337.51846149674714,337.51846149674714
118106A,1985,310.59863569415353,310.59863569415353
118106A,1986,149.41412300120192,149.41412300120192
118106A,1987,174.6657082234022,174.6657082234022
118106A,1988,418.5393625086197,418.5393625086197
118106A,1989,541.9100740689255,541.9100740689255
118106A,1990,959.3036325090925,959.3036325090924
118106A,1992,169.14184135871517,169.14184135871517
118106A,1993,3.9277153615154297,3.9277153615154297
118106A,1994,45.787043104044734,45.787043104044734
118106A,1995,161.0332164221935,161.0332164221935
118106A,1996,196.47483497778705,196.47483497778703
118106A,1997,764.0160659007277,764.0160659007277
118106A,1998,1042.9238787738705,1042.9238787738705
118106A,1999,583.526667116667,583.526667116667
118106A,2000,1472.6879093293885,1472.6879093293885
118106A,2001,177.83184966398292,177.83184966398292
118106A,2002,186.52595386729897,186.52595386729897
118106A,2003,96.5647298030847,96.5647298030847
118106A,2004,231.37267375135679,231.3726737513568
118106A,2005,202.8193016799482,202.8193016799482
118106A,2006,539.4783711991882,539.4783711991882
118106A,2007,753.6731069227981,753.6731069227981
118106A,2008,972.9182758259643,972.9182758259644
118106A,2010,1638.1594542115504,1638.1594542115504
118106A,2011,954.1081897453283,954.1081897453284
118106A,2012,911.5243490775422,911.5243490775422
118106A,2013,399.77762642611145,399.77762642611145
118106A,2014,311.34807711340034,311.34807711340034
118106A,2015,130.39843393802357,130.39843393802357
118106A,2016,188.68208047054628,188.68208047054628
118106A,2017,310.191691796158,310.191691796158
118106A,2018,548.955298485043,548.955298485043
118106A,2019,1171.3902505870572,1171.3902505870572
118106A,2020,513.6634071916208,338.4985838188882
118106A,2021,681.0480186108117,330.25203083268616
235205,1959,628.9106312129682,628.9106312129682
235205,1960,1201.7674484513582,1201.7674484513584
235205,1961,833.1397737541295,833.1397737541294
235205,1962,775.9109095032269,775.9109095032271
235205,1963,702.015717128462,702.0157171284623
235205,1964,1355.1331115824212,1355.1331115824212
235205,1965,883.3303750205234,883.3303750205238
235205,1966,924.2726452346985,924.2726452346988
235205,1967,366.61797478947506,366.6179747894752
235205,1968,1215.8059026397689,1215.8059026397689
235205,1969,895.6145577765006,895.6145577765008
235205,1970,1366.22447462513,1366.22447462513
235205,1971,1607.6884163673267,1607.688416367327
235205,1972,716.6638480864722,716.6638480864724
235205,1973,1094.9698027618479,1094.969802761848
235205,1974,1110.4430751522552,1110.4430751522557
235205,1975,1144.3304598034392,1144.3304598034397
235205,1976,872.1272665169264,872.1272665169266
235205,1977,911.888428768184,911.8884287681842
235205,1979,950.2263864457512,950.2263864457514
235205,1980,1112.7836359370124,1112.7836359370124
235205,1981,866.3271440778691,866.327144077869
235205,1982,460.2462319427939,460.2462319427939
235205,1983,865.7566536849823,865.7566536849826
235205,1984,984.3624984322449,984.3624984322452
235205,1985,955.6213345171069,955.6213345171068
235205,1986,1106.0629851920983,1106.0629851920985
235205,1987,826.3985467526065,826.3985467526065
235205,1988,783.6632901613931,783.6632901613933
235205,1989,918.4147358446605,918.4147358446608
235205,1990,1144.532585758681,1144.5325857586813
235205,1991,1307.5178375602707,1307.517837560271
235205,1992,1310.9577407468005,1310.9577407468005
235205,1993,964.1029205930652,964.0968658932504
235205,1994,925.4040288954485,915.2039271639522
235205,1995,1087.9732673459207,1062.5561159491028
235205,1996,1248.5718554400314,1207.1415441887473
235205,1997,673.5236074589635,637.3229484787906
235205,1998,694.2403804476111,641.2232497746085
235205,1999,603.123114136135,542.7837469187092
235205,2000,920.629624407259,840.3051450481975
235205,2001,1083.4930834745821,982.835102274705
235205,2002,953.1997392168872,847.1098400906842
235205,2003,975.1024336629334,850.8015958631568
235205,2004,1192.5602535146463,1039.833558486671
235205,2005,860.340306926055,717.3657371160807
235205,2006,554.4136790514561,431.06495035541445
235205,2007,1039.4591544831485,851.9224682208251
235205,2008,847.1242697674601,669.1356169511803
235205,2009,993.9985793515054,790.7872343415596
235205,2010,1378.5399971116933,1108.043314560829
235205,2011,1113.8485999563673,862.6233233738069
235205,2012,1243.4425821761567,961.3948803322216
235205,2013,1313.2991802549625,1000.0519569183964
235205,2014,865.8845134957432,609.3788318337339
235205,2015,736.453690954645,486.0622838032915
235205,2016,1268.7746617421737,903.2909791418572
235205,2017,1107.637062094512,754.0363497506723
235205,2018,1113.560399354923,745.7815730728703
235205,2019,1069.222623595055,689.2867226609694
235205,2020,1156.70148683777,735.2288098700845
235205,2021,1337.6002035297026,856.587181820504
235210,1966,426.9132804397632,426.9132804397631
235210,1967,79.28661045790764,79.28661045790753
235210,1968,577.8372347872422,577.8372347872421
235210,1969,373.2658318203423,373.2658318203422
235210,1970,729.3017890001188,729.3017890001188
235210,1971,835.6158568110538,835.6158568110538
235210,1972,322.5591371840097,322.55913718400967
235210,1973,543.8027090757187,543.8027090757187
235210,1974,606.078391248645,606.0783912486447
235210,1975,595.0054093816938,595.0054093816937
235210,1976,368.8037569604117,368.8037569604117
235210,1977,382.261654697215,382.2616546972149
235210,1978,647.9355994317435,647.9355994317434
235210,1979,455.4292837064878,455.4292837064877
235210,1980,547.4313825127012,547.4313825127011
235210,1981,384.91402274738573,384.9140227473856
235210,1982,118.98081743093267,118.98081743093258
235210,1983,351.12682106736133,351.1268210673613
235210,1984,408.7853612382158,408.78536123821567
235210,1985,448.5404042824471,448.540404282447
235210,1986,511.88085267266223,511.8808526726621
235210,1987,401.4932699175832,401.49326991758306
235210,1988,325.0850143310863,325.0850143310863
235210,1989,454.70441531572885,454.7044153157288
235210,1990,556.6634332886528,556.6634332886526
235210,1991,682.0695048260084,682.0695048260083
235210,1992,701.5965404439199,701.5965404439198
235210,1993,490.62222853402653,490.6222285340264
235210,1994,414.16271661655406,414.1627166165539
235210,1995,551.6582581208289,551.6582581208288
235210,1996,644.0929305372633,644.0929305372633
235210,1997,260.4207164862553,260.4207164862552
235210,1998,243.56274882413553,243.5627488241354
235210,1999,168.29809290335237,168.29809290335228
235210,2000,344.0114551421635,344.0114551421634
235210,2001,517.3926583353973,517.3926583353972
235210,2002,396.55466642821096,396.55466642821096
235210,2003,423.0562530259132,423.0562530259132
235210,2004,511.35399466853465,511.3539946685346
235210,2005,314.20964031337894,314.2096403133789
235210,2006,142.34518626212406,142.34518626212397
235210,2007,388.0387992934003,388.03879929340025
235210,2008,281.04052293282285,281.04052293282274
235210,2009,376.4141520085881,376.4141520085881
235210,2011,456.14771348401746,456.14771348401734
235210,2012,590.2053662430027,590.2053662430027
235210,2013,598.2369712170212,598.236971217021
235210,2014,363.646321338639,363.6463213386389
235210,2015,277.8092181890638,277.80921818906376
235210,2016,558.6221338683821,558.622133868382
235210,2017,404.8325504276756,404.8325504276754
235210,2018,386.5289109317315,386.52891093173145
235210,2019,408.1002742473633,408.1002741685056
235210,2020,505.39515702501313,445.6963131123487
235210,2021,696.7263271466746,572.1145769154691
235211,1965,115.45956558220907,115.459565582209
235211,1966,156.8609131209148,156.86091312091472
235211,1967,10.208201888199342,10.208201888199328
235211,1968,221.46215061841446,221.46215061841448
235211,1969,108.3802022341832,108.38020223418316
235211,1970,228.28088993394906,228.28088993394897
235211,1971,288.34961558668675,288.34961558668675
235211,1972,82.34632605747638,82.34632605747633
235211,1973,186.44722096274606,186.44722096274592
235211,1974,212.43409342676375,212.43409342676372
235211,1975,201.9612293993619,201.96122939936183
235211,1976,92.18445494541173,92.18445494541166
235211,1977,123.78623039242268,123.78623039242268
235211,1978,169.92504491900277,169.9250449190027
235211,1979,133.0768453382933,133.07684533829325
235211,1980,194.5426974414834,194.54269744148337
235211,1981,116.3811940858862,116.38119408588614
235211,1982,17.905375577433258,17.90537557743325
235211,1983,126.32599705820554,126.3259970582055
235211,1984,122.56266403343312,122.56266403343308
235211,1985,125.4448409844972,125.44484098449712
235211,1986,186.66622027240857,186.6662202724085
235211,1987,110.2079972798817,110.20799727988162
235211,1988,74.88357995636366,74.88357995636359
235211,1989,135.83619836361018,135.83619836361012
235211,1990,180.21058859324296,180.21058859324287
235211,1991,244.33325435438834,244.33325435438832
235211,1992,262.23216892151527,262.23216892151527
235211,1993,141.30401361761383,141.30401361761378
235211,1994,117.59275014232841,117.59275014232836
235211,1995,168.26861346837975,168.26861346837967
235211,1996,214.71554789487908,214.71554789487905
235211,1997,57.113423236412046,57.11342323641204
235211,1998,73.16311401967661,73.16311401967661
235211,1999,24.88665130124433,24.8866513012443
235211,2000,114.75475457335001,114.75475457334994
235211,2001,134.0694009251015,134.0694009251014
235211,2002,118.75055167383121,118.7505516738312
235211,2003,129.9006853702356,129.90068537023555
235211,2004,182.13258159497298,182.13258159497292
235211,2005,80.03250831583708,80.03250831583703
235211,2006,16.95949239378402,16.959492393783993
235211,2007,111.53105701313048,111.53105701313042
235211,2009,136.05576343065,136.05576343065
235211,2010,225.74904052188026,225.74904052188023
235211,2011,129.1283779670602,129.12837796706015
235211,2013,173.47504714350688,173.47504714350686
235211,2014,103.92157164936998,103.92157164936994
235211,2015,41.20930514762324,41.2093051476232
235211,2016,198.73663668268594,198.73663668268588
235211,2017,180.60771969214758,180.60771969214753
235211,2018,151.02042776885023,151.02042776885017
235211,2019,142.4164781993099,149.93105248029812
235211,2020,164.646332603126,187.1020963230585
235211,2021,177.33702185180985,214.16106678268653
235219,1968,1147.5315804507916,1147.5315804507916
235219,1969,750.7632147883039,750.7632147883039
235219,1970,1275.4344135412007,1275.4344135412005
235219,1971,1390.4805487467859,1390.480548746786
235219,1972,545.4583883092193,545.4583883092193
235219,1973,989.6910887372142,989.6910887372142
235219,1974,949.4140538052595,949.4140538052596
235219,1975,969.753401549659,969.753401549659
235219,1976,732.4016809600591,732.401680960059
235219,1977,764.8967728465527,764.8967728465527
235219,1978,1194.3037871476195,1194.3037871476197
235219,1979,802.3743771060444,802.3743771060444
235219,1980,947.7051225670707,947.7051225670708
235219,1981,693.1608060881176,693.1608060881175
235219,1982,353.4804699196699,353.48046991966993
235219,1983,811.470232096947,811.470232096947
235219,1984,844.5429872292277,844.5429872292277
235219,1985,862.7928288293217,862.7928288293217
235219,1986,949.8274335570436,949.8274335570436
235219,1987,727.4102626180484,727.4102626180484
235219,1988,698.5004162809837,691.1201162488162
235219,1989,843.0687475259651,829.6926442086872
235219,1990,1024.928977227309,1005.071626030244
235219,1991,1135.8857373776978,1109.54345446608
235219,1992,1129.2839648592462,1099.5903157026855
235219,1993,829.2270800384717,802.3176134544307
235219,1994,790.7276343424032,758.7248457340123
235219,1995,998.5604364749463,954.2324088565672
235219,1996,1081.005859993379,1027.362972341893
235219,1997,527.1024877046939,487.7534501881684
235219,1998,633.3193936316994,581.627899233384
235219,1999,544.7898195565692,492.06124833090024
235219,2000,822.8261174828488,753.6433323133299
235219,2001,1009.1896563166397,924.9674931462137
235219,2002,787.9899533986043,708.0875752482877
235219,2003,847.3316090387989,755.3589834921029
235219,2004,1011.6314793445906,902.8340900523528
235219,2005,707.2416490521382,611.5089088496883
235219,2006,450.0717008315285,367.44008858848713
235219,2007,960.5807758675835,831.701813703712
235219,2008,726.8328750838806,611.1691680415031
235219,2009,847.6158899688578,715.4078127008175
235219,2010,1187.1265841637935,1014.0917588294996
235219,2011,947.3045203558818,790.6715543077398
235219,2012,1124.8836412722308,941.5550153660412
235219,2013,1142.8767905175757,946.5758907746288
235219,2014,691.3018054991694,538.6361290319281
235219,2015,647.7489344015818,493.5566305851176
235219,2016,1118.900638183502,893.940752484148
235219,2017,847.2554313694603,649.1468912630403
235219,2018,880.0632024828154,670.6439757754838
235233,1978,773.446149446463,773.446149446463
235233,1979,437.53113103262405,437.5311310326241
235233,1980,510.56937490276226,510.56937490276226
235233,1981,318.21570253676623,318.21570253676623
235233,1982,99.9385997274593,99.9385997274593
235233,1983,487.72278409058066,487.72278409058066
235233,1984,469.9595207166947,469.9595207166947
235233,1985,542.843234582697,542.843234582697
235233,1986,557.4944944371309,557.4944944371309
235233,1987,437.78438835040123,437.7843883504012
235233,1988,408.59016041395677,408.5901604139568
235233,1989,519.2213953931268,519.2213953931268
235233,1990,652.281444350851,652.281444350851
235233,1991,692.5749594566364,692.5749594566364
235233,1992,717.4665060521345,717.4665060521345
235233,1993,519.6157174317782,519.6157174317782
235233,1994,437.866779582415,437.866779582415
235233,1995,645.1719692359688,645.1719692359688
235233,1996,637.7192195015377,637.7192195015377
235233,1997,252.07262069200098,252.07262069200095
235233,1998,376.89039478959774,376.89039478959774
235233,1999,308.8063095115267,308.8063095115267
235233,2000,451.81339430730765,451.8133943073077
235233,2001,669.3567325508843,669.3567325508843
235233,2002,403.8341119186851,403.8341119186851
235233,2003,484.0384805836717,484.0384805836717
235233,2004,572.4229500026591,572.4229500026591
235233,2005,392.52752193503574,392.52752193503574
235233,2006,125.39092719019605,125.39092719019604
235233,2007,606.5951810910162,606.5951810910162
235233,2008,421.4526374027407,421.4526374027407
235233,2009,447.3841786186898,447.3841786186898
235233,2010,731.656770417594,731.656770417594
235233,2011,582.920706920227,582.920706920227
235233,2012,702.456324499797,702.456324499797
235233,2013,721.30505680284125,721.30505680284125
235233,2014,328.067139230447,328.067139230447
235233,2015,300.7897694894297,300.7897694894297
235233,2016,663.3941319140025,663.3941319140025
235233,2017,423.60191669019207,442.4293701934612
235233,2018,435.53942190373283,536.6524399396922
235233,2019,471.7140422372801,700.624011768356
235234,1980,253.34029871106637,218.9543602556829
235234,1981,202.68211592853922,159.0602496047363
235234,1982,71.5744178186522,36.03692178111941
235234,1983,182.3170137597823,133.9980477140486
235234,1984,164.64109345207262,115.147343369554
235234,1985,178.86867372380766,127.95650426684657
235234,1986,219.9901369482212,167.79506010923882
235234,1987,180.90019741515692,127.70219603699246
235234,1988,143.2107305789115,89.41540145084343
235234,1989,203.08377535134136,146.71394973292553
235234,1990,222.1415430450123,164.64019155915318
235234,1991,283.45129403346783,224.88775334438552
235234,1992,299.30866521316085,240.0042154552218
235234,1993,200.26793958115618,140.5817412709599
235234,1994,171.5350800346628,111.10998230701772
235234,1995,234.33279172982324,171.87615080763
235234,1996,261.5737325603806,197.6808082065892
235234,1997,121.38893613953202,61.03886728066676
235234,1998,108.18799003370631,48.85365635689607
235234,1999,60.821555187739776,19.64058019459922
235234,2000,138.73062146714307,72.2477924240945
235234,2001,191.03132943846398,120.81842893363498
235234,2002,158.70101109854784,88.09902974086971
235234,2003,182.71800599833097,109.35233335830102
235234,2004,195.34768191058959,120.2730819986678
235234,2005,115.1166083574185,46.51763316645503
235234,2006,57.32771124867015,14.894194234123075
235234,2007,111.81843460377715,41.94497964226909
235234,2008,87.03985108385464,26.32524177202429
235234,2009,147.9148147924801,68.23312764100042
235234,2010,211.51399872787098,126.8013596737834
235234,2011,152.64526234193997,69.5396236245179
235234,2012,193.7416370832453,106.34815545131369
235234,2013,211.55291051636496,121.8164634874286
235234,2014,153.3791626784941,65.56136819469887
235234,2015,96.28067371631933,25.425347153245035
235234,2016,210.78457319504892,115.35363349280485
235234,2017,174.78754678653297,79.18339846883448
235234,2018,158.86761397392138,63.67645441300995
235234,2019,169.93632278197532,71.44400205564465
235237,1983,162.95670321197707,162.95670321197707
235237,1984,135.4813173331783,135.4813173331783
235237,1985,123.30328674770405,123.30328674770404
235237,1986,193.81641414968914,193.8164141496891
235237,1987,98.28521740398293,98.28521740398293
235237,1988,48.99370343248275,48.99370343248275
235237,1989,143.41089798594032,143.41089798594032
235237,1990,211.6840774258455,211.6840774258455
235237,1991,277.6082755540201,277.6082755540201
235237,1992,309.5322304024288,309.5322304024288
235237,1993,124.92067142342938,124.92067142342938
235237,1994,108.00227797251083,108.00227797251084
235237,1995,151.7493410477683,151.7493410477683
235237,1996,224.47911241745518,224.4791124174552
235237,1997,31.383896203922927,31.383896203922927
235237,1998,76.40552080166061,76.40552080166061
235237,1999,4.724220804643906,4.724220804643906
235237,2000,148.25826009808807,148.25826009808807
235237,2001,129.29609846170615,129.29609846170615
235237,2002,125.21994186147236,125.21994186147236
235237,2003,111.62493304466109,111.62493304466108
235237,2004,209.33981337775404,209.33981337775404
235237,2005,69.38584522808293,69.38584522808293
235237,2006,3.5664199584645293,3.56641995846453
235237,2007,128.23809037605702,128.23809037605702
235237,2008,56.96024420478446,56.96024420478446
235237,2009,126.3565840797962,126.3565840797962
235237,2010,252.73390656428745,252.73390656428745
235237,2011,129.27379057432634,129.2737905743263
235237,2012,120.51193321043675,120.51193321043677
235237,2013,193.4395156513177,199.53227278884637
235237,2014,109.96911198054289,119.75237912733294
235237,2015,18.517489153602433,28.25857300870779
235237,2016,231.19337051380256,259.3780666644145
235237,2018,148.1685352266648,177.55964661786305
235237,2019,131.90263255982373,173.06998464138212
235237,2020,166.95635943039073,220.21676708396615
235237,2021,173.18323848345028,232.6684299068148
236203,1959,7.9706667708852725,7.970666770885283
236203,1960,121.44075827820194,121.44075827820195
236203,1961,31.673203746748076,31.6732037467481
236203,1962,24.866525976361118,24.86652597636114
236203,1963,52.91903029654817,52.91903029654819
236203,1964,124.33128968725589,124.33128968725592
236203,1965,40.17293624932988,40.17293624932991
236203,1966,31.405675011648746,31.40567501164877
236203,1967,0.20607809041488545,0.2060780904148858
236203,1968,45.48764652847395,45.48764652847398
236203,1969,21.101184828349968,21.10118482834999
236203,1970,45.44063249366503,45.44063249366505
236203,1971,64.73757365943668,64.73757365943672
236203,1972,11.340821109767973,11.340821109767983
236203,1973,78.92809658824525,78.92809658824527
236203,1974,85.18152849308657,85.1815284930866
236203,1975,55.1315340174214,55.13153401742144
236203,1976,9.288465548871342,9.28846554887135
236203,1977,19.346051513086962,19.346051513086987
236203,1978,72.91146180822925,72.91146180822926
236203,1979,28.549542756665687,28.549542756665712
236203,1980,29.399385737453134,29.39938573745316
236203,1981,59.926401423976536,59.92640142397657
236203,1982,0.545462769369776,0.5454627693697763
236203,1983,65.16839213266803,64.615011852911
236203,1984,32.130091037821764,30.93868361032884
236203,1985,21.995475433725105,20.384988019202456
236203,1986,51.19487315728194,48.73814155742971
236203,1987,33.198388708008714,30.18385373233053
236203,1988,38.26254245839702,34.264406190597974
236203,1989,72.45119631134571,67.62062698825919
236203,1990,23.83648030167718,19.234391750604217
236203,1991,37.45202478403975,31.697412760120045
236203,1992,86.65128785168213,80.28639889273082
236203,1993,84.37759974216642,77.69776100675529
236203,1994,4.983546475279619,3.266832974114022
236203,1995,29.62429569220461,22.239788593404704
236203,1996,58.808841725801095,49.914972760692464
236203,1997,6.663783014124062,3.884231851592901
236203,1998,13.175536146066559,7.553110753903814
236203,1999,9.871304889288474,5.25654845740074
236203,2000,31.76076542996559,20.89322221960333
236203,2001,17.557512072359263,9.425966999957826
236203,2002,2.401185829681279,1.089279767579843
236203,2003,5.4735010297448135,2.362999938771032
236203,2004,26.693080125250862,14.160187368964674
236203,2005,8.630776014048752,3.435895569295902
236203,2006,0.39425568073552414,0.14353764688728343
236203,2007,10.072137793118298,3.666464289963443
236203,2008,2.2797291763481264,0.7554668665413793
236203,2009,10.826042834347142,3.6245185367058537
236203,2010,107.19845858783751,86.55561872904066
236203,2011,69.65437199828527,48.255893121694186
236203,2012,33.537927704214326,14.334453034764447
236203,2013,12.086894369512068,3.289845773082913
236203,2014,3.52814103225048,0.8477007266011826
236203,2015,1.1202649655996264,0.2530985284568973
236203,2016,66.16667011748716,39.62046265064139
236203,2017,31.054986049765816,9.54188403984505
236203,2018,4.10659109396327,0.7695144245085677
236213,1975,51.76335839693042,49.69894968987759
236213,1976,20.010505859184782,17.604990407483008
236213,1977,32.29588944714576,29.204370420222045
236213,1978,72.84553808288295,69.1589772839307
236213,1979,42.01310742268772,37.78456590144198
236213,1980,46.3982490738172,41.44201315620536
236213,1981,66.9698535671931,61.49816745215527
236213,1982,7.739877694197713e-4,2.6116870968282222e-5
236213,1983,84.24983721100823,77.62975837670517
236213,1984,43.12819171311196,35.85621998206425
236213,1985,35.86364251177094,28.030739683524395
236213,1986,63.32299512898694,55.012542853125126
236213,1987,46.3600133864031,37.40524836375881
236213,1988,53.43652660838087,43.57972374024111
236213,1989,71.5145061173196,61.08540192703775
236213,1990,28.824154822757617,17.921291262570534
236213,1991,49.17470928402418,37.79808634847399
236213,1992,82.56582922896787,70.87083999500747
236213,1993,75.94149664527431,63.99257238758203
236213,1994,10.023537449317933,0.2036052480083647
236213,1995,49.826394585989306,36.45240213541339
236213,1996,65.13446397936819,51.08962825714229
236213,1997,20.06515112925092,5.5913980896242235
236213,1998,38.817528167561974,23.218761703102768
236213,1999,37.55595688678228,21.31287767559249
236213,2000,54.89548167362135,38.20896368958728
236213,2001,36.68237011210193,19.38565005663508
236213,2002,3.3920007092163313,2.0895089700825057e-4
236213,2003,19.152072674753864,0.8908254953828382
236213,2004,35.73515488369549,16.0203670132586
236213,2005,22.41061926355045,2.0207772714234515
236213,2006,2.476243099337688e-4,1.374995994432225e-9
236213,2007,32.66251945191552,10.552415624259298
