year,precipitation,observed_boxcox_streamflow,modelled_boxcox_streamflow,gauge,streamflow_model,objective_function,optimiser,loglikelihood
1990,1427.74516096,NA,85.022084738237,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1991,1338.47536787,NA,83.701810466687,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1992,1616.68917251,NA,87.81651170595059,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1993,1236.77407965,NA,82.19767799844006,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1994,1169.9391005,NA,81.20920809885865,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1995,1822.54409501,204.82811772669132,90.86104612729353,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1996,2183.61944857,461.5130704287402,96.20124557096722,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1997,1521.23673265,NA,86.40479788718127,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1998,1661.61494385,189.23209200284657,88.48095079532924,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1999,2338.41945554,426.74810589998617,98.49069264330669,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
2000,2061.2923845,400.4694566021035,94.39206387786034,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
2001,1397.37251035,335.7868606659158,84.57288207100629,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
2002,983.55637466,NA,78.45266180172746,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
2003,1371.53896774,NA,84.19081149068596,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
2004,1378.80301116,242.6236309150742,84.29824457978452,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
2005,1208.1187189299999,265.6126894046234,81.7738735491292,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
2006,2557.63896945,564.9305937043223,101.73288548389354,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
2007,1370.63715557,138.30891469165684,84.17747395102546,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
2008,1338.49796386,159.2944028900665,83.702144654806,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
2009,984.03432256,144.07931358222982,78.45973051213518,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
2010,2300.63672015,NA,97.93189697774594,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
