gauge,streamflow_model,objective_function,parameter,parameter_values
102101A,streamflow_model_precip_only,constant_sd_objective_function,a0,-137.30123843811242
102101A,streamflow_model_precip_only,constant_sd_objective_function,a1,0.085029559261537
102101A,streamflow_model_precip_only,constant_sd_objective_function,sd,5.920106272598403e-6
102101A,streamflow_model_precip_only,constant_sd_objective_function,a0,-137.30123843811242
102101A,streamflow_model_precip_only,constant_sd_objective_function,a1,0.085029559261537
102101A,streamflow_model_precip_only,constant_sd_objective_function,sd,5.920106272598403e-6
102101A,streamflow_model_precip_only,constant_sd_objective_function,a0,-137.30123843811242
102101A,streamflow_model_precip_only,constant_sd_objective_function,a1,0.085029559261537
102101A,streamflow_model_precip_only,constant_sd_objective_function,sd,5.920106272598403e-6
102101A,streamflow_model_precip_only,constant_sd_objective_function,a0,-137.30123843811242
102101A,streamflow_model_precip_only,constant_sd_objective_function,a1,0.085029559261537
102101A,streamflow_model_precip_only,constant_sd_objective_function,sd,5.920106272598403e-6
102101A,streamflow_model_precip_only,constant_sd_objective_function,a0,-137.30123843811242
102101A,streamflow_model_precip_only,constant_sd_objective_function,a1,0.085029559261537
102101A,streamflow_model_precip_only,constant_sd_objective_function,sd,5.920106272598403e-6
102101A,streamflow_model_precip_only,constant_sd_objective_function,a0,-137.30123843811242
102101A,streamflow_model_precip_only,constant_sd_objective_function,a1,0.085029559261537
102101A,streamflow_model_precip_only,constant_sd_objective_function,sd,5.920106272598403e-6
102101A,streamflow_model_precip_only,constant_sd_objective_function,a0,-137.30123843811242
102101A,streamflow_model_precip_only,constant_sd_objective_function,a1,0.085029559261537
102101A,streamflow_model_precip_only,constant_sd_objective_function,sd,5.920106272598403e-6
102101A,streamflow_model_precip_only,constant_sd_objective_function,a0,-137.30123843811242
102101A,streamflow_model_precip_only,constant_sd_objective_function,a1,0.085029559261537
102101A,streamflow_model_precip_only,constant_sd_objective_function,sd,5.920106272598403e-6
102101A,streamflow_model_precip_only,constant_sd_objective_function,a0,-137.30123843811242
102101A,streamflow_model_precip_only,constant_sd_objective_function,a1,0.085029559261537
102101A,streamflow_model_precip_only,constant_sd_objective_function,sd,5.920106272598403e-6
102101A,streamflow_model_precip_only,constant_sd_objective_function,a0,-137.30123843811242
102101A,streamflow_model_precip_only,constant_sd_objective_function,a1,0.085029559261537
102101A,streamflow_model_precip_only,constant_sd_objective_function,sd,5.920106272598403e-6
102101A,streamflow_model_precip_only,constant_sd_objective_function,a0,63.90614373589506
102101A,streamflow_model_precip_only,constant_sd_objective_function,a1,0.014789708708866567
102101A,streamflow_model_precip_only,constant_sd_objective_function,sd,6.754626124958025e-4
102101A,streamflow_model_precip_only,constant_sd_objective_function,a0,63.90614373589506
102101A,streamflow_model_precip_only,constant_sd_objective_function,a1,0.014789708708866567
102101A,streamflow_model_precip_only,constant_sd_objective_function,sd,6.754626124958025e-4
102101A,streamflow_model_precip_only,constant_sd_objective_function,a0,63.90614373589506
102101A,streamflow_model_precip_only,constant_sd_objective_function,a1,0.014789708708866567
102101A,streamflow_model_precip_only,constant_sd_objective_function,sd,6.754626124958025e-4
102101A,streamflow_model_precip_only,constant_sd_objective_function,a0,63.906149133400845
102101A,streamflow_model_precip_only,constant_sd_objective_function,a1,0.014789709103715697
102101A,streamflow_model_precip_only,constant_sd_objective_function,sd,373.22544476447615
102101A,streamflow_model_precip_only,constant_sd_objective_function,a0,63.906149133400845
