gauge,streamflow_model,objective_function,optimiser,parameter,parameter_value,loglikelihood,AIC,exit_message,near_bounds
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,dream,a0_d,1.174952649694717,67.70080221194564,143.40160442389129,Maximum function evaluations reached,FALSE
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,dream,a0_n,4.827553685727878,67.70080221194564,143.40160442389129,Maximum function evaluations reached,FALSE
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,dream,a1,0.006098701785701587,67.70080221194564,143.40160442389129,Maximum function evaluations reached,FALSE
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,dream,sd,2.597906525967346,67.70080221194564,143.40160442389129,Maximum function evaluations reached,FALSE
107001B,streamflow_model_precip_auto,constant_sd_objective_function,dream,a0,-57.62550893488799,154.08781842335006,316.1756368467001,Maximum function evaluations reached,FALSE
107001B,streamflow_model_precip_auto,constant_sd_objective_function,dream,a1,0.08958504242070242,154.08781842335006,316.1756368467001,Maximum function evaluations reached,FALSE
107001B,streamflow_model_precip_auto,constant_sd_objective_function,dream,a2,0.21059491626841553,154.08781842335006,316.1756368467001,Maximum function evaluations reached,FALSE
107001B,streamflow_model_precip_auto,constant_sd_objective_function,dream,sd,18.449475223805837,154.08781842335006,316.1756368467001,Maximum function evaluations reached,FALSE
121001A,streamflow_model_separate_shifted_CO2_seasonal_ratio_auto,CO2_variable_objective_function,dream,a0,1.3557703468259206,74.99196426190858,165.98392852381716,Convergence criteria reached,FALSE
121001A,streamflow_model_separate_shifted_CO2_seasonal_ratio_auto,CO2_variable_objective_function,dream,a1,0.004019170998124144,74.99196426190858,165.98392852381716,Convergence criteria reached,FALSE
121001A,streamflow_model_separate_shifted_CO2_seasonal_ratio_auto,CO2_variable_objective_function,dream,a2,0.06766055337496635,74.99196426190858,165.98392852381716,Convergence criteria reached,FALSE
121001A,streamflow_model_separate_shifted_CO2_seasonal_ratio_auto,CO2_variable_objective_function,dream,a3,0.012038581492177514,74.99196426190858,165.98392852381716,Convergence criteria reached,FALSE
121001A,streamflow_model_separate_shifted_CO2_seasonal_ratio_auto,CO2_variable_objective_function,dream,a4,6.481843735551138,74.99196426190858,165.98392852381716,Convergence criteria reached,FALSE
121001A,streamflow_model_separate_shifted_CO2_seasonal_ratio_auto,CO2_variable_objective_function,dream,a5,19.955615938970304,74.99196426190858,165.98392852381716,Convergence criteria reached,FALSE
121001A,streamflow_model_separate_shifted_CO2_seasonal_ratio_auto,CO2_variable_objective_function,dream,sd,1.1274949151989282,74.99196426190858,165.98392852381716,Convergence criteria reached,FALSE
121001A,streamflow_model_separate_shifted_CO2_seasonal_ratio_auto,CO2_variable_objective_function,dream,scale_CO2,1.1878602528287342e-6,74.99196426190858,165.98392852381716,Convergence criteria reached,FALSE
122004A,streamflow_model_drought_precip_auto,constant_sd_objective_function,dream,a0_d,-14.049311599250188,130.76920775268482,271.53841550536964,Maximum function evaluations reached,FALSE
122004A,streamflow_model_drought_precip_auto,constant_sd_objective_function,dream,a0_n,-6.504993221008306,130.76920775268482,271.53841550536964,Maximum function evaluations reached,FALSE
122004A,streamflow_model_drought_precip_auto,constant_sd_objective_function,dream,a1,0.040377148836638115,130.76920775268482,271.53841550536964,Maximum function evaluations reached,FALSE
122004A,streamflow_model_drought_precip_auto,constant_sd_objective_function,dream,a2,0.11080901450369662,130.76920775268482,271.53841550536964,Maximum function evaluations reached,FALSE
122004A,streamflow_model_drought_precip_auto,constant_sd_objective_function,dream,sd,8.886872417031812,130.76920775268482,271.53841550536964,Maximum function evaluations reached,FALSE
137201A,streamflow_model_drought_precip_seasonal_ratio,CO2_variable_objective_function,dream,a0_d,-6.980602018608693,79.58185031705872,171.16370063411745,Convergence criteria reached,FALSE
137201A,streamflow_model_drought_precip_seasonal_ratio,CO2_variable_objective_function,dream,a0_n,-4.227200284662899,79.58185031705872,171.16370063411745,Convergence criteria reached,FALSE
137201A,streamflow_model_drought_precip_seasonal_ratio,CO2_variable_objective_function,dream,a1,0.013955992517764054,79.58185031705872,171.16370063411745,Convergence criteria reached,FALSE
137201A,streamflow_model_drought_precip_seasonal_ratio,CO2_variable_objective_function,dream,a4,6.622048587954055,79.58185031705872,171.16370063411745,Convergence criteria reached,FALSE
137201A,streamflow_model_drought_precip_seasonal_ratio,CO2_variable_objective_function,dream,sd,0.23328725558643076,79.58185031705872,171.16370063411745,Convergence criteria reached,FALSE
137201A,streamflow_model_drought_precip_seasonal_ratio,CO2_variable_objective_function,dream,scale_CO2,0.020477408937328224,79.58185031705872,171.16370063411745,Convergence criteria reached,FALSE
138009A,streamflow_model_precip_auto,constant_sd_objective_function,dream,a0,-18.339201113106924,100.99432805124036,209.98865610248072,Maximum function evaluations reached,FALSE
138009A,streamflow_model_precip_auto,constant_sd_objective_function,dream,a1,0.03202038764537514,100.99432805124036,209.98865610248072,Maximum function evaluations reached,FALSE
138009A,streamflow_model_precip_auto,constant_sd_objective_function,dream,a2,0.19476488141645776,100.99432805124036,209.98865610248072,Maximum function evaluations reached,FALSE
138009A,streamflow_model_precip_auto,constant_sd_objective_function,dream,sd,3.957492125751616,100.99432805124036,209.98865610248072,Maximum function evaluations reached,FALSE
143009A,streamflow_model_drought_precip_auto,constant_sd_objective_function,dream,a0_d,-5.751150318213092,65.24334275178401,140.48668550356803,Maximum function evaluations reached,FALSE
143009A,streamflow_model_drought_precip_auto,constant_sd_objective_function,dream,a0_n,-3.9879187543494936,65.24334275178401,140.48668550356803,Maximum function evaluations reached,FALSE
143009A,streamflow_model_drought_precip_auto,constant_sd_objective_function,dream,a1,0.011225929277042117,65.24334275178401,140.48668550356803,Maximum function evaluations reached,FALSE
143009A,streamflow_model_drought_precip_auto,constant_sd_objective_function,dream,a2,0.2748420154713307,65.24334275178401,140.48668550356803,Maximum function evaluations reached,FALSE
143009A,streamflow_model_drought_precip_auto,constant_sd_objective_function,dream,sd,0.9284869409940417,65.24334275178401,140.48668550356803,Maximum function evaluations reached,FALSE
143303A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function,dream,a0,-26.29820280410206,188.22926829341546,386.4585365868309,Maximum function evaluations reached,FALSE
143303A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function,dream,a1,0.056399348305624306,188.22926829341546,386.4585365868309,Maximum function evaluations reached,FALSE
143303A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function,dream,a2,0.15689233951736603,188.22926829341546,386.4585365868309,Maximum function evaluations reached,FALSE
143303A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function,dream,a4,24.718848908931932,188.22926829341546,386.4585365868309,Maximum function evaluations reached,FALSE
143303A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function,dream,sd,9.758841156938432,188.22926829341546,386.4585365868309,Maximum function evaluations reached,FALSE
145010A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function,dream,a0,-8.857472723423314,146.8209348318722,303.6418696637444,Maximum function evaluations reached,FALSE
145010A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function,dream,a1,0.029266826942062323,146.8209348318722,303.6418696637444,Maximum function evaluations reached,FALSE
145010A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function,dream,a2,0.1838990420832891,146.8209348318722,303.6418696637444,Maximum function evaluations reached,FALSE
145010A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function,dream,a4,13.701136350507909,146.8209348318722,303.6418696637444,Maximum function evaluations reached,FALSE
