gauge,model,parameter,exit_message,acceptance_rate,gelman_statistic,best_coefficients
003303A,streamflow_model_precip_only,a0,Convergence criteria reached,0.2363997472846543,1.055831996130071,-47.49391084144372
003303A,streamflow_model_precip_only,a1,Convergence criteria reached,0.2363997472846543,1.018044773746935,0.11538867138201608
003303A,streamflow_model_precip_only,b,Convergence criteria reached,0.2363997472846543,1.0007668592440189,0.2992939148689469
003303A,streamflow_model_precip_only,sd,Convergence criteria reached,0.2363997472846543,1.018662804688521,15.43905192687452
102101A,streamflow_model_precip_only,a0,Convergence criteria reached,0.22194590816216797,1.0087613930230088,-826.233390358946
102101A,streamflow_model_precip_only,a1,Convergence criteria reached,0.22194590816216797,1.008358268118994,1.0730858680177064
102101A,streamflow_model_precip_only,b,Convergence criteria reached,0.22194590816216797,1.00073538630645,0.03022728605506403
102101A,streamflow_model_precip_only,sd,Convergence criteria reached,0.22194590816216797,1.009036565395468,268.76171054297475
105101A,streamflow_model_precip_seasonal_ratio_auto,a0,Convergence criteria reached,0.18491320271557887,1.0386482844005978,-295.7623269422752
105101A,streamflow_model_precip_seasonal_ratio_auto,a1,Convergence criteria reached,0.18491320271557887,1.0400151176876946,0.3954836909669891
105101A,streamflow_model_precip_seasonal_ratio_auto,a2,Convergence criteria reached,0.18491320271557887,1.0161377491180092,0.2607189588895569
105101A,streamflow_model_precip_seasonal_ratio_auto,a4,Convergence criteria reached,0.18491320271557887,1.0198214750605443,360.87868592361474
105101A,streamflow_model_precip_seasonal_ratio_auto,b,Convergence criteria reached,0.18491320271557887,1.009109958374339,0.1159307365047998
105101A,streamflow_model_precip_seasonal_ratio_auto,sd,Convergence criteria reached,0.18491320271557887,1.0132321658594194,134.26014395551766
105105A,streamflow_model_precip_auto,a0,Convergence criteria reached,0.20602349715023116,1.0159333377508295,-576.894753202705
105105A,streamflow_model_precip_auto,a1,Convergence criteria reached,0.20602349715023116,1.0069282436767624,0.5444736332995401
105105A,streamflow_model_precip_auto,a2,Convergence criteria reached,0.20602349715023116,1.0036476403458563,0.2890011375003956
105105A,streamflow_model_precip_auto,b,Convergence criteria reached,0.20602349715023116,1.0014295810011478,0.01736492595972357
105105A,streamflow_model_precip_auto,sd,Convergence criteria reached,0.20602349715023116,1.022427829413861,185.87673053009368
107001B,streamflow_model_precip_auto,a0,Convergence criteria reached,0.20075075276911492,1.0160688681898324,-520.4480284221318
107001B,streamflow_model_precip_auto,a1,Convergence criteria reached,0.20075075276911492,1.009751183903912,0.5759525634963166
107001B,streamflow_model_precip_auto,a2,Convergence criteria reached,0.20075075276911492,1.0033783545262975,0.22950752851712689
107001B,streamflow_model_precip_auto,b,Convergence criteria reached,0.20075075276911492,1.0014057379210504,0.02589866439690825
107001B,streamflow_model_precip_auto,sd,Convergence criteria reached,0.20075075276911492,1.0312526617306983,122.3158811575044
108002A,streamflow_model_precip_auto,a0,Convergence criteria reached,0.18806121625981287,1.0173805238582616,-1047.8029327691238
108002A,streamflow_model_precip_auto,a1,Convergence criteria reached,0.18806121625981287,1.0080296823438688,0.9346826188631352
108002A,streamflow_model_precip_auto,a2,Convergence criteria reached,0.18806121625981287,1.0042285192285434,0.17678652907319423
108002A,streamflow_model_precip_auto,b,Convergence criteria reached,0.18806121625981287,1.0018283505554342,0.01218710613612422
108002A,streamflow_model_precip_auto,sd,Convergence criteria reached,0.18806121625981287,1.01498266517049,277.544208862257
111005A,streamflow_model_precip_auto,a0,Convergence criteria reached,0.15365227443811158,1.01719861900233,-947.940168043304
111005A,streamflow_model_precip_auto,a1,Convergence criteria reached,0.15365227443811158,1.008297712661023,0.8753637429325735
111005A,streamflow_model_precip_auto,a2,Convergence criteria reached,0.15365227443811158,1.006104817481141,0.16602818764418847
111005A,streamflow_model_precip_auto,b,Convergence criteria reached,0.15365227443811158,1.003180732376435,0.01105475166250868
111005A,streamflow_model_precip_auto,sd,Convergence criteria reached,0.15365227443811158,1.0080864604299695,227.6368733650032
111007A,streamflow_model_precip_auto,a0,Convergence criteria reached,0.1616336434025164,1.0132676027343173,-968.7721967079616
111007A,streamflow_model_precip_auto,a1,Convergence criteria reached,0.1616336434025164,1.00606467745398,0.9300683368559814
111007A,streamflow_model_precip_auto,a2,Convergence criteria reached,0.1616336434025164,1.0056522662391392,0.13286602478857334
111007A,streamflow_model_precip_auto,b,Convergence criteria reached,0.1616336434025164,1.0021798200286742,0.03439026082064933
111007A,streamflow_model_precip_auto,sd,Convergence criteria reached,0.1616336434025164,1.0133852363670344,236.85622344429683
112002A,streamflow_model_precip_only,a0,Convergence criteria reached,0.15993991289385956,1.0209041353272326,-1040.9878646826728
112002A,streamflow_model_precip_only,a1,Convergence criteria reached,0.15993991289385956,1.0081191236467413,0.953163717804878
112002A,streamflow_model_precip_only,b,Convergence criteria reached,0.15993991289385956,1.0088089358141217,0.00591420222655411
112002A,streamflow_model_precip_only,sd,Convergence criteria reached,0.15993991289385956,1.00660984790969,331.2124214150096
112101B,streamflow_model_precip_auto,a0,Convergence criteria reached,0.15999032153995052,1.0136183118664914,-902.825898326966
112101B,streamflow_model_precip_auto,a1,Convergence criteria reached,0.15999032153995052,1.0097407456171243,0.9675883872855826
112101B,streamflow_model_precip_auto,a2,Convergence criteria reached,0.15999032153995052,1.0050175406484865,0.15358149686454636
112101B,streamflow_model_precip_auto,b,Convergence criteria reached,0.15999032153995052,1.0052462530803723,0.06814679375880056
112101B,streamflow_model_precip_auto,sd,Convergence criteria reached,0.15999032153995052,1.0123254535014174,269.91027177652177
410091,streamflow_model_drought_precip_seasonal_ratio_auto,a0_d,Convergence criteria reached,0.15123272987136727,1.024194374765376,-89.92995749590784
410091,streamflow_model_drought_precip_seasonal_ratio_auto,a0_n,Convergence criteria reached,0.15123272987136727,1.0385692281289198,-139.26116839667074
410091,streamflow_model_drought_precip_seasonal_ratio_auto,a1,Convergence criteria reached,0.15123272987136727,1.031257616904059,0.24835950273850596
410091,streamflow_model_drought_precip_seasonal_ratio_auto,a2,Convergence criteria reached,0.15123272987136727,1.0181576931947391,0.23774346253086984
410091,streamflow_model_drought_precip_seasonal_ratio_auto,a4,Convergence criteria reached,0.15123272987136727,1.0183817175293026,-131.8006600782435
410091,streamflow_model_drought_precip_seasonal_ratio_auto,b,Convergence criteria reached,0.15123272987136727,1.023667042059512,0.06919528414507459
410091,streamflow_model_drought_precip_seasonal_ratio_auto,sd,Convergence criteria reached,0.15123272987136727,1.0134438807770738,18.82165442623651
410141,streamflow_model_precip_seasonal_ratio,a0,Convergence criteria reached,0.1979245080116141,1.012410530285882,-126.3338764711546
410141,streamflow_model_precip_seasonal_ratio,a1,Convergence criteria reached,0.1979245080116141,1.005370855852474,0.23268473295395065
410141,streamflow_model_precip_seasonal_ratio,a4,Convergence criteria reached,0.1979245080116141,1.0024610428743077,-70.00669166737606
410141,streamflow_model_precip_seasonal_ratio,b,Convergence criteria reached,0.1979245080116141,1.0024163278242402,0.1345937228501025
410141,streamflow_model_precip_seasonal_ratio,sd,Convergence criteria reached,0.1979245080116141,1.0301950242450906,25.809309277372552
410705,streamflow_model_drought_precip_seasonal_ratio_auto,a0_d,Convergence criteria reached,0.11576941400666985,1.0357038728068253,-258.6287284013114
410705,streamflow_model_drought_precip_seasonal_ratio_auto,a0_n,Convergence criteria reached,0.11576941400666985,1.0386485855008736,-230.5073942246328
410705,streamflow_model_drought_precip_seasonal_ratio_auto,a1,Convergence criteria reached,0.11576941400666985,1.050592586458186,0.3812005579183044
410705,streamflow_model_drought_precip_seasonal_ratio_auto,a2,Convergence criteria reached,0.11576941400666985,1.0175145148483595,0.29068599126544803
410705,streamflow_model_drought_precip_seasonal_ratio_auto,a4,Convergence criteria reached,0.11576941400666985,1.0193203855731858,-83.62912955813078
410705,streamflow_model_drought_precip_seasonal_ratio_auto,b,Convergence criteria reached,0.11576941400666985,1.017100119226514,0.03654996470156052
410705,streamflow_model_drought_precip_seasonal_ratio_auto,sd,Convergence criteria reached,0.11576941400666985,1.0132229684650167,39.07390122402795
410730,streamflow_model_precip_auto,a0,Convergence criteria reached,0.1591132110979675,1.011426977392837,-427.14171572378814
410730,streamflow_model_precip_auto,a1,Convergence criteria reached,0.1591132110979675,1.0101034141551528,0.614589965054813
410730,streamflow_model_precip_auto,a2,Convergence criteria reached,0.1591132110979675,1.0059386212585868,0.24816557625241775
410730,streamflow_model_precip_auto,b,Convergence criteria reached,0.1591132110979675,1.0023108584244456,0.01158445397458719
410730,streamflow_model_precip_auto,sd,Convergence criteria reached,0.1591132110979675,1.0165764826750854,75.35168747998942
410731,streamflow_model_precip_auto,a0,Convergence criteria reached,0.18671026454457473,1.0247241769309796,-192.02905673949272
410731,streamflow_model_precip_auto,a1,Convergence criteria reached,0.18671026454457473,1.0095910327866169,0.2979689100794818
410731,streamflow_model_precip_auto,a2,Convergence criteria reached,0.18671026454457473,1.0044346917340352,0.2957692468103543
410731,streamflow_model_precip_auto,b,Convergence criteria reached,0.18671026454457473,1.0017714208495816,0.04473113019906519
410731,streamflow_model_precip_auto,sd,Convergence criteria reached,0.18671026454457473,1.0234068798566618,41.86497227450697
410734,streamflow_model_drought_precip_seasonal_ratio_auto,a0_d,Convergence criteria reached,0.11778674368747022,1.0561466537888324,-340.8456817588203
410734,streamflow_model_drought_precip_seasonal_ratio_auto,a0_n,Convergence criteria reached,0.11778674368747022,1.0640551939714722,-303.5185121405475
410734,streamflow_model_drought_precip_seasonal_ratio_auto,a1,Convergence criteria reached,0.11778674368747022,1.0633213989624488,0.45990724364492264
410734,streamflow_model_drought_precip_seasonal_ratio_auto,a2,Convergence criteria reached,0.11778674368747022,1.0173853415677123,0.2848530807884082
410734,streamflow_model_drought_precip_seasonal_ratio_auto,a4,Convergence criteria reached,0.11778674368747022,1.0234372006370702,-158.14374093297488
410734,streamflow_model_drought_precip_seasonal_ratio_auto,b,Convergence criteria reached,0.11778674368747022,1.028364414259363,0.01970807037458358
410734,streamflow_model_drought_precip_seasonal_ratio_auto,sd,Convergence criteria reached,0.11778674368747022,1.0126884346250615,60.18613076193659
410761,streamflow_model_precip_seasonal_ratio_auto,a0,Convergence criteria reached,0.1215273642210577,1.043857555636507,-215.207492874792
410761,streamflow_model_precip_seasonal_ratio_auto,a1,Convergence criteria reached,0.1215273642210577,1.0398600232723878,0.3340948472826001
410761,streamflow_model_precip_seasonal_ratio_auto,a2,Convergence criteria reached,0.1215273642210577,1.0170839268538132,0.3018376436788701
410761,streamflow_model_precip_seasonal_ratio_auto,a4,Convergence criteria reached,0.1215273642210577,1.0191115126481038,-117.71455219286791
410761,streamflow_model_precip_seasonal_ratio_auto,b,Convergence criteria reached,0.1215273642210577,1.0271610201414951,0.02905059786153531
410761,streamflow_model_precip_seasonal_ratio_auto,sd,Convergence criteria reached,0.1215273642210577,1.0138464597671162,25.945518527555475
412028,streamflow_model_precip_seasonal_ratio_auto,a0,Convergence criteria reached,0.1442316281562649,1.04971208368949,-244.1632195173852
412028,streamflow_model_precip_seasonal_ratio_auto,a1,Convergence criteria reached,0.1442316281562649,1.0519289164316257,0.41068994280726934
412028,streamflow_model_precip_seasonal_ratio_auto,a2,Convergence criteria reached,0.1442316281562649,1.0155662378101613,0.23573328371468172
412028,streamflow_model_precip_seasonal_ratio_auto,a4,Convergence criteria reached,0.1442316281562649,1.0178221729371613,-282.1357184154208
412028,streamflow_model_precip_seasonal_ratio_auto,b,Convergence criteria reached,0.1442316281562649,1.019558730826445,0.03136431560623983
412028,streamflow_model_precip_seasonal_ratio_auto,sd,Convergence criteria reached,0.1442316281562649,1.017028275029057,38.67232275637333
412050,streamflow_model_precip_seasonal_ratio_auto,a0,Convergence criteria reached,0.1141205633635064,1.045247887004267,-460.4663703934865
412050,streamflow_model_precip_seasonal_ratio_auto,a1,Convergence criteria reached,0.1141205633635064,1.0424720487356909,0.6386904824829528
412050,streamflow_model_precip_seasonal_ratio_auto,a2,Convergence criteria reached,0.1141205633635064,1.016779467404689,0.28490381991130476
412050,streamflow_model_precip_seasonal_ratio_auto,a4,Convergence criteria reached,0.1141205633635064,1.019510020150876,-407.72375053683834
412050,streamflow_model_precip_seasonal_ratio_auto,b,Convergence criteria reached,0.1141205633635064,1.0265173558894671,0.01142432952966734
412050,streamflow_model_precip_seasonal_ratio_auto,sd,Convergence criteria reached,0.1141205633635064,1.0121294897305757,40.69767165860071
412066,streamflow_model_precip_seasonal_ratio_auto,a0,Convergence criteria reached,0.13940045855169125,1.0505844738964507,-294.0391551981546
412066,streamflow_model_precip_seasonal_ratio_auto,a1,Convergence criteria reached,0.13940045855169125,1.044217853715063,0.4691223869850612
412066,streamflow_model_precip_seasonal_ratio_auto,a2,Convergence criteria reached,0.13940045855169125,1.012016499775584,0.33476798800484886
412066,streamflow_model_precip_seasonal_ratio_auto,a4,Convergence criteria reached,0.13940045855169125,1.0156203124383618,-213.15213877475708
412066,streamflow_model_precip_seasonal_ratio_auto,b,Convergence criteria reached,0.13940045855169125,1.0226296073344507,0.02498999620471075
412066,streamflow_model_precip_seasonal_ratio_auto,sd,Convergence criteria reached,0.13940045855169125,1.0125097625744433,45.31033492574719
415207,streamflow_model_drought_precip_seasonal_ratio_auto,a0_d,Convergence criteria reached,0.11179058480228676,1.047084342391262,-172.8807652215987
415207,streamflow_model_drought_precip_seasonal_ratio_auto,a0_n,Convergence criteria reached,0.11179058480228676,1.0416109763953014,-158.07236138361617
415207,streamflow_model_drought_precip_seasonal_ratio_auto,a1,Convergence criteria reached,0.11179058480228676,1.0400770358216824,0.3119306164766159
415207,streamflow_model_drought_precip_seasonal_ratio_auto,a2,Convergence criteria reached,0.11179058480228676,1.0253602611629546,0.2995072089786759
415207,streamflow_model_drought_precip_seasonal_ratio_auto,a4,Convergence criteria reached,0.11179058480228676,1.023353415071095,-177.56730334457671
415207,streamflow_model_drought_precip_seasonal_ratio_auto,b,Convergence criteria reached,0.11179058480228676,1.029605672859632,0.07064744218598236
415207,streamflow_model_drought_precip_seasonal_ratio_auto,sd,Convergence criteria reached,0.11179058480228676,1.013883848823185,21.07443968238485
415245,streamflow_model_precip_seasonal_ratio_auto,a0,Convergence criteria reached,0.14661371486422103,1.0290293339694434,-180.9128672007879
415245,streamflow_model_precip_seasonal_ratio_auto,a1,Convergence criteria reached,0.14661371486422103,1.0347957143815658,0.3435119307208312
415245,streamflow_model_precip_seasonal_ratio_auto,a2,Convergence criteria reached,0.14661371486422103,1.0193978961613042,0.35195851067154704
415245,streamflow_model_precip_seasonal_ratio_auto,a4,Convergence criteria reached,0.14661371486422103,1.019051343517124,-178.58425591795677
415245,streamflow_model_precip_seasonal_ratio_auto,b,Convergence criteria reached,0.14661371486422103,1.0238355335042069,0.08867507825476813
415245,streamflow_model_precip_seasonal_ratio_auto,sd,Convergence criteria reached,0.14661371486422103,1.0128618323779313,18.377987349903
416003,streamflow_model_precip_auto,a0,Convergence criteria reached,0.20243440154855363,1.0141723475265334,-225.67277230268616
416003,streamflow_model_precip_auto,a1,Convergence criteria reached,0.20243440154855363,1.021911899758864,0.34677108351781105
416003,streamflow_model_precip_auto,a2,Convergence criteria reached,0.20243440154855363,1.0035522075541576,0.20123050438017676
416003,streamflow_model_precip_auto,b,Convergence criteria reached,0.20243440154855363,1.004596990266195,0.13108270634307637
416003,streamflow_model_precip_auto,sd,Convergence criteria reached,0.20243440154855363,1.034380286511264,34.71893567064612
416010,streamflow_model_precip_auto,a0,Convergence criteria reached,0.20056256049037535,1.0162571995422838,-181.82626039466368
416010,streamflow_model_precip_auto,a1,Convergence criteria reached,0.20056256049037535,1.0104638352333688,0.2931136164633119
416010,streamflow_model_precip_auto,a2,Convergence criteria reached,0.20056256049037535,1.0033693869615956,0.2323774288889895
416010,streamflow_model_precip_auto,b,Convergence criteria reached,0.20056256049037535,1.0038917057229475,0.14815046006787796
416010,streamflow_model_precip_auto,sd,Convergence criteria reached,0.20056256049037535,1.0325925877049835,26.484213829899826
416020,streamflow_model_precip_auto,a0,Convergence criteria reached,0.1975414023013228,1.0071829702488155,-79.37409171180394
416020,streamflow_model_precip_auto,a1,Convergence criteria reached,0.1975414023013228,1.2004629768579125,0.1463676537596756
416020,streamflow_model_precip_auto,a2,Convergence criteria reached,0.1975414023013228,1.0024930916922872,0.23239401301088525
416020,streamflow_model_precip_auto,b,Convergence criteria reached,0.1975414023013228,1.00101169311272,0.12290391491894088
416020,streamflow_model_precip_auto,sd,Convergence criteria reached,0.1975414023013228,1.0341894015085915,23.145423590371752
416032,streamflow_model_precip_auto,a0,Convergence criteria reached,0.19574013334767185,1.010101508084254,-234.7391527762661
416032,streamflow_model_precip_auto,a1,Convergence criteria reached,0.19574013334767185,1.009146506169554,0.35382743112225534
416032,streamflow_model_precip_auto,a2,Convergence criteria reached,0.19574013334767185,1.0077727321781518,0.2120906015531765
416032,streamflow_model_precip_auto,b,Convergence criteria reached,0.19574013334767185,1.0061052495430969,0.1300705964900888
416032,streamflow_model_precip_auto,sd,Convergence criteria reached,0.19574013334767185,1.0950070147878452,31.881065234472494
418025,streamflow_model_precip_auto,a0,Convergence criteria reached,0.1925879126787826,1.0085074665500855,-85.79863808591585
418025,streamflow_model_precip_auto,a1,Convergence criteria reached,0.1925879126787826,1.0110409105052096,0.18888187421938488
418025,streamflow_model_precip_auto,a2,Convergence criteria reached,0.1925879126787826,1.0036990260722627,0.5515461010750335
418025,streamflow_model_precip_auto,b,Convergence criteria reached,0.1925879126787826,1.0022351642473983,0.8304449180210081
418025,streamflow_model_precip_auto,sd,Convergence criteria reached,0.1925879126787826,1.0249393902537522,60.33046377235922
419016,streamflow_model_precip_seasonal_ratio_auto,a0,Convergence criteria reached,0.13730868866126722,1.0327329438809354,-242.7717034518923
419016,streamflow_model_precip_seasonal_ratio_auto,a1,Convergence criteria reached,0.13730868866126722,1.0624442078236718,0.3598845601388056
419016,streamflow_model_precip_seasonal_ratio_auto,a2,Convergence criteria reached,0.13730868866126722,1.0170722802091052,0.12964535250410503
419016,streamflow_model_precip_seasonal_ratio_auto,a4,Convergence criteria reached,0.13730868866126722,1.0161486986093282,-200.0401874215106
419016,streamflow_model_precip_seasonal_ratio_auto,b,Convergence criteria reached,0.13730868866126722,1.0173725222209666,0.03566322349732491
419016,streamflow_model_precip_seasonal_ratio_auto,sd,Convergence criteria reached,0.13730868866126722,1.0157206612622072,37.44211940289783
419035,streamflow_model_precip_auto,a0,Convergence criteria reached,0.14835600602215293,1.0134072632830395,-215.73041114870864
419035,streamflow_model_precip_auto,a1,Convergence criteria reached,0.14835600602215293,1.0073228415579576,0.3119198531018849
419035,streamflow_model_precip_auto,a2,Convergence criteria reached,0.14835600602215293,1.0026405326906975,0.27029642790290165
419035,streamflow_model_precip_auto,b,Convergence criteria reached,0.14835600602215293,1.0042924621796117,0.04298225807757011
419035,streamflow_model_precip_auto,sd,Convergence criteria reached,0.14835600602215293,1.0265396992255271,35.254171286588104
420003,streamflow_model_drought_precip_only,a0_d,Convergence criteria reached,0.1815753037961071,1.0266362378614908,-191.19237033597904
420003,streamflow_model_drought_precip_only,a0_n,Convergence criteria reached,0.1815753037961071,1.0142809836457514,-251.82704830210673
420003,streamflow_model_drought_precip_only,a1,Convergence criteria reached,0.1815753037961071,1.0154499259811125,0.35898427193038973
420003,streamflow_model_drought_precip_only,b,Convergence criteria reached,0.1815753037961071,1.0018762159800962,0.03854028505094906
420003,streamflow_model_drought_precip_only,sd,Convergence criteria reached,0.1815753037961071,1.0225205704197473,49.15042015603172
420017,streamflow_model_precip_only,a0,Convergence criteria reached,0.14385619421443163,1.007372628064461,-143.00412031839045
420017,streamflow_model_precip_only,a1,Convergence criteria reached,0.14385619421443163,1.007526161717207,0.21451252720459285
420017,streamflow_model_precip_only,b,Convergence criteria reached,0.14385619421443163,1.0037216753021572,0.05815536908213252
420017,streamflow_model_precip_only,sd,Convergence criteria reached,0.14385619421443163,1.0257936211574907,23.679546646371055
421018,streamflow_model_precip_seasonal_ratio_auto,a0,Convergence criteria reached,0.15170542520247732,1.036777782496669,-165.55837713575
421018,streamflow_model_precip_seasonal_ratio_auto,a1,Convergence criteria reached,0.15170542520247732,1.0436984520114048,0.3069268302577258
421018,streamflow_model_precip_seasonal_ratio_auto,a2,Convergence criteria reached,0.15170542520247732,1.0199469345197338,0.2992174120084885
421018,streamflow_model_precip_seasonal_ratio_auto,a4,Convergence criteria reached,0.15170542520247732,1.0225575607852369,-99.16505554239497
421018,streamflow_model_precip_seasonal_ratio_auto,b,Convergence criteria reached,0.15170542520247732,1.0163753634870727,0.06316331411828821
421018,streamflow_model_precip_seasonal_ratio_auto,sd,Convergence criteria reached,0.15170542520247732,1.0132432693989406,27.593797180672073
421042,streamflow_model_precip_only,a0,Convergence criteria reached,0.20733412194859657,1.0082723585509814,-56.693486817637506
421042,streamflow_model_precip_only,a1,Convergence criteria reached,0.20733412194859657,1.0115576618896402,0.10483241915511216
421042,streamflow_model_precip_only,b,Convergence criteria reached,0.20733412194859657,1.0034461222302848,0.9926857342739476
421042,streamflow_model_precip_only,sd,Convergence criteria reached,0.20733412194859657,1.045186303181739,15.890646726368375
421048,streamflow_model_precip_seasonal_ratio,a0,Convergence criteria reached,0.17370819442950858,1.017297443099405,-211.41333647030763
421048,streamflow_model_precip_seasonal_ratio,a1,Convergence criteria reached,0.17370819442950858,1.016155213638117,0.3926066349129225
421048,streamflow_model_precip_seasonal_ratio,a4,Convergence criteria reached,0.17370819442950858,1.0031325996421177,-253.15635803310377
421048,streamflow_model_precip_seasonal_ratio,b,Convergence criteria reached,0.17370819442950858,1.001938930005743,0.05232665877753716
421048,streamflow_model_precip_seasonal_ratio,sd,Convergence criteria reached,0.17370819442950858,1.032471559785348,48.905481156700546
422202B,streamflow_model_precip_only,a0,Convergence criteria reached,0.23025997419077315,1.0087776500893448,-93.70344994613843
422202B,streamflow_model_precip_only,a1,Convergence criteria reached,0.23025997419077315,1.0083012505451705,0.18760952191075891
422202B,streamflow_model_precip_only,b,Convergence criteria reached,0.23025997419077315,1.0006947654663965,0.9192056102727416
422202B,streamflow_model_precip_only,sd,Convergence criteria reached,0.23025997419077315,1.0296484520598252,21.722458349328623
422306A,streamflow_model_precip_seasonal_ratio_auto,a0,Convergence criteria reached,0.17140974868985226,1.0508496502064848,-398.4066843454593
422306A,streamflow_model_precip_seasonal_ratio_auto,a1,Convergence criteria reached,0.17140974868985226,1.047554151617746,0.48203279669118615
422306A,streamflow_model_precip_seasonal_ratio_auto,a2,Convergence criteria reached,0.17140974868985226,1.013164459571143,0.23928886555306472
422306A,streamflow_model_precip_seasonal_ratio_auto,a4,Convergence criteria reached,0.17140974868985226,1.0186886275242146,240.46792640569993
422306A,streamflow_model_precip_seasonal_ratio_auto,b,Convergence criteria reached,0.17140974868985226,1.017673040872262,0.03815177972773793
422306A,streamflow_model_precip_seasonal_ratio_auto,sd,Convergence criteria reached,0.17140974868985226,1.012908420361529,93.30182812275982
422319B,streamflow_model_precip_seasonal_ratio_auto,a0,Convergence criteria reached,0.18866126727012864,1.0271808398890223,-253.23293394416964
422319B,streamflow_model_precip_seasonal_ratio_auto,a1,Convergence criteria reached,0.18866126727012864,1.0264399787187788,0.4197045290402556
422319B,streamflow_model_precip_seasonal_ratio_auto,a2,Convergence criteria reached,0.18866126727012864,1.0113387458010192,0.3846173307456728
422319B,streamflow_model_precip_seasonal_ratio_auto,a4,Convergence criteria reached,0.18866126727012864,1.0151115926140917,198.71991222521137
422319B,streamflow_model_precip_seasonal_ratio_auto,b,Convergence criteria reached,0.18866126727012864,1.0141642073397903,0.4216830383113865
422319B,streamflow_model_precip_seasonal_ratio_auto,sd,Convergence criteria reached,0.18866126727012864,1.016355367381206,62.95158750538221
422321B,streamflow_model_drought_precip_auto,a0_d,Convergence criteria reached,0.14343139590281084,1.043195763153539,-487.4899059366512
422321B,streamflow_model_drought_precip_auto,a0_n,Convergence criteria reached,0.14343139590281084,1.058970706445854,-548.7706844237164
422321B,streamflow_model_drought_precip_auto,a1,Convergence criteria reached,0.14343139590281084,1.0573099567995026,0.746970646399202
422321B,streamflow_model_drought_precip_auto,a2,Convergence criteria reached,0.14343139590281084,1.0290056742350269,0.36338361918331974
422321B,streamflow_model_drought_precip_auto,b,Convergence criteria reached,0.14343139590281084,1.0139723457182854,0.10088496537958522
422321B,streamflow_model_drought_precip_auto,sd,Convergence criteria reached,0.14343139590281084,1.013344590823499,96.5723234242789
424002,streamflow_model_precip_auto,a0,Convergence criteria reached,0.22098478331003335,1.017990115570536,-16.018351431430972
424002,streamflow_model_precip_auto,a1,Convergence criteria reached,0.22098478331003335,1.089180733296012,0.0709331306912647
424002,streamflow_model_precip_auto,a2,Convergence criteria reached,0.22098478331003335,1.0022347708215282,-0.1572465065042522
424002,streamflow_model_precip_auto,b,Convergence criteria reached,0.22098478331003335,1.001863844389595,0.4820483148680618
424002,streamflow_model_precip_auto,sd,Convergence criteria reached,0.22098478331003335,1.0421655515093786,7.696220224126429
424201A,streamflow_model_drought_precip_only,a0_d,Convergence criteria reached,0.21738896655554363,1.006675100207994,-14.89724513577542
424201A,streamflow_model_drought_precip_only,a0_n,Convergence criteria reached,0.21738896655554363,1.034916609674835,-29.610418167457567
424201A,streamflow_model_drought_precip_only,a1,Convergence criteria reached,0.21738896655554363,1.250659896727489,0.1298931945299577
424201A,streamflow_model_drought_precip_only,b,Convergence criteria reached,0.21738896655554363,1.0017705687016365,0.275366228350495
424201A,streamflow_model_drought_precip_only,sd,Convergence criteria reached,0.21738896655554363,1.0270995255732007,13.51212231520653
602004,streamflow_model_precip_seasonal_ratio,a0,Convergence criteria reached,0.18705640391439937,1.009449643365203,-50.01716036723032
602004,streamflow_model_precip_seasonal_ratio,a1,Convergence criteria reached,0.18705640391439937,1.0358898840271242,0.1119583965821276
602004,streamflow_model_precip_seasonal_ratio,a4,Convergence criteria reached,0.18705640391439937,1.0059062902984663,-62.80145002063358
602004,streamflow_model_precip_seasonal_ratio,b,Convergence criteria reached,0.18705640391439937,1.0021030098691914,0.2965107109662634
602004,streamflow_model_precip_seasonal_ratio,sd,Convergence criteria reached,0.18705640391439937,1.0422819410110633,6.957931092348307
603004,streamflow_model_precip_seasonal_ratio_auto,a0,Convergence criteria reached,0.169250982610767,1.044911959123019,-123.99014586973551
603004,streamflow_model_precip_seasonal_ratio_auto,a1,Convergence criteria reached,0.169250982610767,1.0401740093980696,0.22119401382799211
603004,streamflow_model_precip_seasonal_ratio_auto,a2,Convergence criteria reached,0.169250982610767,1.0102718061509042,0.2196577916192957
603004,streamflow_model_precip_seasonal_ratio_auto,a4,Convergence criteria reached,0.169250982610767,1.0124810372876072,-251.44816088975244
603004,streamflow_model_precip_seasonal_ratio_auto,b,Convergence criteria reached,0.169250982610767,1.016569799254027,0.3283189566594273
603004,streamflow_model_precip_seasonal_ratio_auto,sd,Convergence criteria reached,0.169250982610767,1.0151086573418149,15.196675937696348
603136,streamflow_model_precip_seasonal_ratio_auto,a0,Convergence criteria reached,0.16645947474988088,1.042678127207037,-150.66596198498274
603136,streamflow_model_precip_seasonal_ratio_auto,a1,Convergence criteria reached,0.16645947474988088,1.079487778520859,0.23955835822573365
603136,streamflow_model_precip_seasonal_ratio_auto,a2,Convergence criteria reached,0.16645947474988088,1.0158050737951976,0.1469375248856266
603136,streamflow_model_precip_seasonal_ratio_auto,a4,Convergence criteria reached,0.16645947474988088,1.016755347891536,-282.82489815697244
603136,streamflow_model_precip_seasonal_ratio_auto,b,Convergence criteria reached,0.16645947474988088,1.0144098189700426,0.3805086358540393
603136,streamflow_model_precip_seasonal_ratio_auto,sd,Convergence criteria reached,0.16645947474988088,1.0135254463449488,20.573876844993983
604001,streamflow_model_precip_seasonal_ratio,a0,Convergence criteria reached,0.18202226045811376,1.0066577041354574,-79.46685038000129
